filepath,filename,file_ext,species,raw_label,dataset_origin,is_readable,detected_format,format_mismatch,md5_hash,dhash,is_exact_dup,is_near_dup,clean_label
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_0_BG-39-img-3.jpg,aug_0_BG-39-img-3.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,ede216f39651f27a3a54b3e120e453b0,568c7ce880002080,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_100_BG-48-img-2.jpg,aug_100_BG-48-img-2.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,fe73bf7bed29ea9b43b2df00ac73d0a5,400360d09a805080,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_101_BG-11-img-1.jpg,aug_101_BG-11-img-1.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,ab9d954ae2fbb0e1f5582e1c46cab7e0,20c0c0646270b812,True,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_102_BG-57-img-1.jpg,aug_102_BG-57-img-1.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,d7d93bfd4bf57f28585f18a095fe1da5,000cb60ebcf0c084,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_103_BG-48-img-1.jpg,aug_103_BG-48-img-1.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,888765c9c738a68f3dae286da5e3d69d,026402a6f4398238,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_104_BG-54-img-3.jpg,aug_104_BG-54-img-3.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,e0e76e39f8d8bb98d249895654c6d8f6,30833cf880016000,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_105_BG-20-img-2.jpg,aug_105_BG-20-img-2.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,d3ee0f7bf56796610390991ef96fdf40,842a86cc60b04430,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_106_BG-59-img-2.jpg,aug_106_BG-59-img-2.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,17d6a28fdfcf077c3bdc72dd42b5f2a2,10e69ef8e1821840,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_107_BG-61-img-2.jpg,aug_107_BG-61-img-2.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,ca9b1303153ee2f24a0a7b3290a6e496,080608f867c09020,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_108_BG-17-img-1.jpg,aug_108_BG-17-img-1.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,f38d320934e2453e68f6fe4173874db1,0c600cf8c0842080,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_109_BG-46-img-2.jpg,aug_109_BG-46-img-2.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,7814c69eeef00e1713683d75a7a19d23,421022d8fc0fc009,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_10_BG-43-img-3.jpg,aug_10_BG-43-img-3.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,523c45fcd0928cabe5f67e69435d809e,593c161e161e2a0b,True,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_110_BG-13-img-1.jpg,aug_110_BG-13-img-1.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,58a7ad1bb2038c5c45cf8d3a20680146,08001829a9790824,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_111_BG-55-img-2.jpg,aug_111_BG-55-img-2.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,ac7d9b90292a5b9512cba98a4c37df36,002002e1e11c8028,False,False,BG
C:\Users\Asus\PycharmProjects\499_v1\datasets\shrimp\Augmented_shrimp\BG\aug_112_BG-4-img-3.jpg,aug_112_BG-4-img-3.jpg,.jpg,shrimp,BG,ShrimpDiseaseBD,True,JPEG,False,358eb6699b3899b9690a1b7b82666f4d,8219f8c6c31d4201,False,False,BG
