image_path,label,species,split_x,is_augmented,fold,split_y,ph,temperature,dissolved_oxygen,salinity,ammonia,turbidity,temp_do_ratio,ammonia_toxicity_index,stress_score
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_100.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,val,6.4,30.65,3.72,34.09,0.042,47.79,8.239225163373217,0.012934205613129142,1.182
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_101.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,6.71,29.83,3.63,26.15,0.091,40.34,8.217608215955327,0.05568710450744318,1.3119999999999998
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_102.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,5.07,29.59,2.39,29.26,0.086,37.97,12.380701335977673,0.0011959235215827282,2.1559999999999997
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_104.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,4.82,31.17,2.06,25.82,0.234,46.11,15.13099450973539,0.001927581062883539,2.922
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_105.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,val,5.74,30.27,2.72,35.41,0.033,39.66,11.128635556486923,0.00219576749722048,1.6439999999999997
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_106.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,6.1,33.06,2.22,28.84,0.198,25.4,14.891824811599948,0.03296309869822079,2.346
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_107.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,6.54,31.43,3.11,26.8,0.123,52.74,10.106076829334954,0.05361786091183751,1.647
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_108.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,5.78,31.86,1.79,29.3,0.019,41.15,17.798783247020964,0.0014590136793370075,1.8549999999999998
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_109.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,3,train,5.69,32.53,4.02,31.73,0.369,42.93,8.092019671592858,0.02351637737122602,2.6129999999999995
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_110.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,5.73,31.83,3.98,26.08,0.093,43.14,7.997467343046877,0.006358864613189039,1.509
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_111.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,6.59,34.39,3.14,32.01,0.032,54.73,10.952194419762995,0.01712545604653223,1.259
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_114.jpeg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,6.58,30.91,4.45,17.52,0.006,53.22,6.946051806625154,0.0028203970176644516,0.7649999999999999
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_117.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,6.15,30.25,3.27,20.05,0.595,39.66,9.250736236280623,0.10169564052511526,3.6039999999999996
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_118.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,5.2,28.98,2.8,31.66,0.407,48.29,10.3499630358463,0.007477437328012758,3.2779999999999996
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_119.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,6.16,33.42,2.64,26.69,0.065,57.74,12.659042958170613,0.012559715255965519,1.67
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_12.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,4,train,5.92,31.01,3.01,22.34,0.032,40.79,10.302291354513773,0.00330150330136241,1.499
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_120.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,0,train,6.0,32.01,4.71,28.7,0.113,44.81,6.7961639147262956,0.01446852,1.2890000000000001
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_123.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,5.1,31.15,5.17,27.23,0.039,48.02,6.025133413668446,0.0006117622146072571,1.125
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_124.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,6.79,32.88,3.83,24.36,0.115,59.05,8.584833982156704,0.09325876084154547,1.3239999999999998
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_125.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,2,train,5.38,28.52,2.85,28.4,0.283,39.97,10.00698243164059,0.007744545721069337,2.7129999999999996
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_126.jpg,Bacterial diseases - Aeromoniasis,fish,train,False,1,train,5.46,32.18,2.46,34.2,0.69,41.12,13.081247637204726,0.025615044920689507,4.434
