filepath,filename,file_ext,species,raw_label,dataset_origin,is_readable,detected_format,format_mismatch,md5_hash,dhash,is_exact_dup,is_near_dup,clean_label
C:\Users\Asus\PycharmProjects\499_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_103.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_103.jpg,.jpg,fish,unlabeled,Kaggle_Fish,True,JPEG,False,cc7f39912562422ddaca9315e7deeb6a,0cfc91246cec3801,False,False,unlabeled
C:\Users\Asus\PycharmProjects\499_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_112.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_112.jpg,.jpg,fish,unlabeled,Kaggle_Fish,True,JPEG,False,21e1c54b8f1a75fc2efd09de25590974,26aef5f898e8789e,False,False,unlabeled
C:\Users\Asus\PycharmProjects\499_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_113.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_113.jpg,.jpg,fish,unlabeled,Kaggle_Fish,True,JPEG,False,ba97058ea00245e0222e99668fc66166,f1e864cc34f1c3c7,False,False,unlabeled
C:\Users\Asus\PycharmProjects\499_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_115.png,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_115.png,.png,fish,unlabeled,Kaggle_Fish,True,PNG,False,28444414bea832fb35699a9ea469f135,f1f3b226e6e6f3e3,False,True,unlabeled
C:\Users\Asus\PycharmProjects\499_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_116.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_116.jpg,.jpg,fish,unlabeled,Kaggle_Fish,True,JPEG,False,9c6954c18077bdedde70bba0095c3817,b063d3d8b4e46592,False,False,unlabeled
C:\Users\Asus\PycharmProjects\499_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_121.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_121.jpg,.jpg,fish,unlabeled,Kaggle_Fish,True,JPEG,False,2320d4d715085bde497d09a1e3adf6a0,8f9e4b49c079b106,False,False,unlabeled
C:\Users\Asus\PycharmProjects\499_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_122.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_122.jpg,.jpg,fish,unlabeled,Kaggle_Fish,True,JPEG,False,d200d0606297a45eaf133bc18e54c617,1b1b29ce67e9cadd,False,False,unlabeled
C:\Users\Asus\PycharmProjects\499_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_133.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_133.jpg,.jpg,fish,unlabeled,Kaggle_Fish,True,JPEG,False,e6cdee9317aa3addbb1dc85bfd6aa0dc,106466bcd869b205,False,False,unlabeled
C:\Users\Asus\PycharmProjects\499_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_134.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_134.jpg,.jpg,fish,unlabeled,Kaggle_Fish,True,JPEG,False,65f5b169bac1436aa3cd658687ffce17,200a33f3686ad2d0,False,False,unlabeled
C:\Users\Asus\PycharmProjects\499_v1\datasets\fish\New Dataset\test_split\Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_138.jpg,Bacterial diseases - Aeromoniasis_Bacterial diseases - Aeromoniasis_138.jpg,.jpg,fish,unlabeled,Kaggle_Fish,True,JPEG,False,6f061cc935780f6dd2fe10951b11811f,0c3ce195396ce620,False,True,unlabeled
