image_path,label,split,ph,temperature,dissolved_oxygen,salinity,ammonia,turbidity
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_100.jpg,Bacterial diseases - Aeromoniasis,val,6.4,30.65,3.72,34.09,0.042,47.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_101.jpg,Bacterial diseases - Aeromoniasis,train,6.71,29.83,3.63,26.15,0.091,40.34
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_102.jpg,Bacterial diseases - Aeromoniasis,train,5.07,29.59,2.39,29.26,0.086,37.97
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_104.jpg,Bacterial diseases - Aeromoniasis,train,4.82,31.17,2.06,25.82,0.234,46.11
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_105.jpg,Bacterial diseases - Aeromoniasis,val,5.74,30.27,2.72,35.41,0.033,39.66
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_106.jpg,Bacterial diseases - Aeromoniasis,train,6.1,33.06,2.22,28.84,0.198,25.4
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_107.jpg,Bacterial diseases - Aeromoniasis,train,6.54,31.43,3.11,26.8,0.123,52.74
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_108.jpg,Bacterial diseases - Aeromoniasis,train,5.78,31.86,1.79,29.3,0.019,41.15
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_109.jpg,Bacterial diseases - Aeromoniasis,train,5.69,32.53,4.02,31.73,0.369,42.93
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_110.jpg,Bacterial diseases - Aeromoniasis,train,5.73,31.83,3.98,26.08,0.093,43.14
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_111.jpg,Bacterial diseases - Aeromoniasis,train,6.59,34.39,3.14,32.01,0.032,54.73
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_114.jpeg,Bacterial diseases - Aeromoniasis,train,6.58,30.91,4.45,17.52,0.006,53.22
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_117.jpg,Bacterial diseases - Aeromoniasis,train,6.15,30.25,3.27,20.05,0.595,39.66
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_118.jpg,Bacterial diseases - Aeromoniasis,train,5.2,28.98,2.8,31.66,0.407,48.29
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\fish\New Dataset\train_split\Bacterial diseases - Aeromoniasis\Bacterial diseases - Aeromoniasis_119.jpg,Bacterial diseases - Aeromoniasis,train,6.16,33.42,2.64,26.69,0.065,57.74
