image_path,label,split,ph,temperature,dissolved_oxygen,salinity,ammonia,turbidity
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-1-img-1.jpg,BG,train,6.4,30.65,3.72,34.09,0.042,47.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-1-img-2.jpg,BG,val,6.71,29.83,3.63,26.15,0.091,40.34
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-1-img-3.jpg,BG,train,5.07,29.59,2.39,29.26,0.086,37.97
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-10-img-1.jpg,BG,train,4.82,31.17,2.06,25.82,0.234,46.11
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-10-img-2.jpg,BG,train,5.74,30.27,2.72,35.41,0.033,39.66
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-10-img-3.jpg,BG,train,6.1,33.06,2.22,28.84,0.198,25.4
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-11-img-1.jpg,BG,train,6.54,31.43,3.11,26.8,0.123,52.74
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-11-img-2.jpg,BG,val,5.78,31.86,1.79,29.3,0.019,41.15
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-11-img-3.jpg,BG,test,5.69,32.53,4.02,31.73,0.369,42.93
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-12-img-1.jpg,BG,train,5.73,31.83,3.98,26.08,0.093,43.14
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-12-img-2.jpg,BG,train,6.59,34.39,3.14,32.01,0.032,54.73
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-13-img-1.jpg,BG,train,6.58,30.91,4.45,17.52,0.006,53.22
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-13-img-2.jpg,BG,test,6.15,30.25,3.27,20.05,0.595,39.66
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-13-img-3.jpg,BG,test,5.2,28.98,2.8,31.66,0.407,48.29
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-14-img-1.jpg,BG,train,6.16,33.42,2.64,26.69,0.065,57.74
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-15-img-1.jpg,BG,train,5.92,31.01,3.01,22.34,0.032,40.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-15-img-2.jpg,BG,val,6.0,32.01,4.71,28.7,0.113,44.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-16-img-1.jpg,BG,train,5.1,31.15,5.17,27.23,0.039,48.02
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-17-img-1.jpg,BG,train,6.79,32.88,3.83,24.36,0.115,59.05
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-18-img-1.jpg,BG,val,5.38,28.52,2.85,28.4,0.283,39.97
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-19-img-1.jpg,BG,test,5.46,32.18,2.46,34.2,0.69,41.12
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-19-img-2.jpg,BG,train,5.57,33.03,2.22,28.91,0.189,58.07
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-2-img-1.jpg,BG,train,6.26,32.95,2.21,22.72,0.324,51.18
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-2-img-2.jpg,BG,train,6.83,31.73,2.63,35.46,0.264,49.74
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-2-img-3.jpg,BG,train,5.52,32.97,4.13,24.72,0.262,49.24
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-20-img-1.jpg,BG,train,6.66,30.39,2.6,24.44,0.903,36.84
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-20-img-2.jpg,BG,train,6.27,33.07,3.21,33.81,0.215,30.94
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-21-img-1.jpg,BG,train,6.08,28.32,3.59,27.11,0.004,52.14
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-21-img-2.jpg,BG,train,6.38,30.82,2.52,21.94,0.476,35.74
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-21-img-3.jpg,BG,train,5.79,31.43,3.51,24.46,0.239,46.54
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-22-img-1.jpg,BG,train,6.13,28.14,3.49,30.24,0.299,35.41
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-22-img-3.jpg,BG,train,6.93,32.29,3.61,30.06,0.4,83.53
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-23-img-1.jpg,BG,val,5.82,32.63,6.42,31.04,0.118,46.65
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-23-img-2.jpg,BG,train,4.98,32.72,1.91,26.11,0.034,55.89
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-23-img-3.jpg,BG,train,5.67,32.7,2.62,28.87,0.013,68.89
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-24-img-1.jpg,BG,test,7.21,25.94,3.35,25.35,0.144,53.52
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-24-img-2.jpg,BG,train,6.4,33.16,2.24,26.66,0.043,48.18
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-24-img-3.jpg,BG,train,5.13,27.85,3.93,36.49,0.136,55.32
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-25-img-1.jpg,BG,train,6.86,29.23,3.56,31.1,0.161,44.81
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-25-img-2.jpg,BG,train,6.98,30.37,0.5,34.53,0.252,30.7
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-26-img-1.jpg,BG,train,6.8,31.03,2.41,29.85,0.018,42.98
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-27-img-1.jpg,BG,train,6.14,31.28,3.73,34.34,0.153,32.62
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-27-img-2.jpg,BG,train,5.54,32.47,2.54,25.51,0.018,53.85
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-27-img-3.jpg,BG,train,6.61,31.89,2.65,31.6,0.332,48.07
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-28-img-1.jpg,BG,train,5.6,29.6,3.8,30.44,1.164,27.12
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-28-img-2.jpg,BG,val,5.37,32.37,3.04,27.13,0.347,55.99
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-29-img-1.jpg,BG,test,6.88,31.05,3.75,26.76,0.123,42.29
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-29-img-2.jpg,BG,val,5.73,31.24,3.68,24.73,0.087,65.92
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-29-img-3.jpg,BG,train,6.79,32.98,3.7,30.51,0.024,38.01
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-3-img-1.jpg,BG,val,6.09,33.44,3.08,24.7,0.039,41.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-3-img-2.jpg,BG,train,5.61,31.61,3.4,25.97,0.019,50.59
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-3-img-3.jpg,BG,val,6.62,27.38,2.07,25.13,0.375,42.87
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-30-img-1.jpg,BG,train,6.61,30.6,3.18,23.99,0.003,38.18
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-30-img-2.jpg,BG,train,6.07,31.81,2.54,30.08,0.819,60.33
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-30-img-3.jpg,BG,val,6.51,30.0,3.38,28.05,0.019,49.74
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-31-img-1.jpg,BG,val,6.13,34.63,3.97,36.61,0.219,37.33
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-31-img-2.jpg,BG,val,7.41,28.98,2.53,25.6,0.156,55.33
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-31-img-3.jpg,BG,train,5.01,31.85,4.7,31.8,0.289,39.23
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-32-img-1.jpg,BG,train,5.31,35.58,4.14,26.12,1.091,47.95
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-32-img-2.jpg,BG,train,5.44,30.71,4.19,21.62,0.015,39.01
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-33-img-1.jpg,BG,val,6.1,31.12,2.84,30.49,0.15,31.31
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-34-img-1.jpg,BG,train,6.42,27.16,4.22,29.33,0.184,37.52
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-34-img-2.jpg,BG,train,6.54,31.17,5.82,35.02,0.523,34.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-34-img-3.jpg,BG,train,6.92,28.59,3.75,32.23,0.124,27.41
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-35-img-1.jpg,BG,train,5.94,32.79,4.4,28.3,0.126,54.82
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-35-img-2.jpg,BG,train,6.3,26.74,3.16,29.54,0.17,44.67
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-35-img-3.jpg,BG,train,5.32,32.67,3.49,24.24,0.05,52.47
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-36-img-1.jpg,BG,train,5.93,28.54,3.6,25.88,0.049,37.07
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-36-img-2.jpg,BG,test,6.04,28.41,2.76,23.21,0.175,43.98
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-36-img-3.jpg,BG,val,6.13,29.25,3.37,27.55,0.41,42.79
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-37-img-1.jpg,BG,train,5.78,29.56,2.98,18.79,0.241,38.73
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-37-img-2.jpg,BG,test,4.78,32.44,3.45,40.0,0.028,56.2
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-37-img-3.jpg,BG,train,5.14,31.51,2.59,22.31,0.005,34.39
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-38-img-1.jpg,BG,train,5.71,35.22,3.91,27.97,0.023,59.8
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-38-img-2.jpg,BG,train,7.01,32.35,2.37,27.24,0.083,58.96
C:\Users\Asus\PycharmProjects\AquaVision_v1\datasets\shrimp\ShrimpImages\ShrimpImages\BG\BG-38-img-3.jpg,BG,train,5.31,27.5,3.65,25.4,0.052,40.13
