pond_id,species,ph,do_mgL,temp_C,ammonia_mgL,salinity_ppt,turbidity_ntu,water_quality_status,is_synthetic,split
pond_00000,fish,8.15,5.18,29.4,0.085,0.26,36.9,Poor,True,train
pond_00001,fish,7.81,6.51,25.6,0.0,0.19,14.9,Optimal,True,train
pond_00002,fish,8.58,3.61,30.6,0.195,0.42,36.8,Critical,True,test
pond_00003,fish,6.47,3.29,31.1,0.026,0.35,14.4,Poor,True,train
pond_00004,fish,7.24,7.23,23.0,0.094,0.0,56.4,Critical,True,train
pond_00005,fish,7.12,5.52,24.9,0.445,0.34,84.1,Critical,True,train
pond_00006,fish,6.22,3.69,28.9,0.241,0.0,43.7,Critical,True,train
pond_00007,fish,8.04,7.34,27.6,0.0,0.0,23.6,Optimal,True,val
pond_00008,fish,7.24,4.93,28.5,0.0,0.15,0.0,Acceptable,True,train
pond_00009,fish,7.84,7.92,26.1,0.0,0.3,4.7,Optimal,True,val
pond_00010,fish,8.82,5.31,31.0,0.265,0.0,63.0,Critical,True,val
pond_00011,fish,7.19,5.75,30.7,0.0,0.38,16.5,Optimal,True,train
pond_00012,fish,7.15,5.46,28.7,0.005,0.39,28.3,Optimal,True,train
pond_00013,fish,7.47,1.41,31.7,0.392,0.21,46.8,Critical,True,train
pond_00014,fish,7.99,3.93,29.8,0.392,0.0,61.7,Critical,True,train
pond_00015,fish,7.06,6.14,26.1,0.0,0.0,31.4,Optimal,True,train
pond_00016,fish,7.02,6.09,29.5,0.0,0.46,27.7,Optimal,True,test
pond_00017,fish,8.03,3.87,25.8,0.168,0.0,36.3,Critical,True,val
pond_00018,fish,7.63,5.2,31.0,0.0,0.47,23.7,Optimal,True,train
pond_00019,fish,6.17,4.26,28.4,0.039,0.16,24.7,Poor,True,test
pond_00020,fish,6.66,6.24,28.0,0.022,0.18,42.4,Optimal,True,val
pond_00021,fish,8.3,6.18,26.6,0.011,0.0,38.3,Optimal,True,train
pond_00022,fish,7.64,6.11,31.9,0.318,0.16,73.4,Critical,True,val
pond_00023,fish,6.94,7.39,28.1,0.0,0.35,42.9,Optimal,True,test
pond_00024,fish,7.3,6.7,27.3,0.13,0.0,55.7,Critical,True,val
pond_00025,fish,7.41,7.22,27.5,0.0,0.32,15.7,Optimal,True,train
pond_00026,fish,7.84,4.99,30.0,0.14,0.22,44.5,Critical,True,train
pond_00027,fish,6.59,9.53,29.5,0.0,0.04,22.0,Acceptable,True,test
pond_00028,fish,6.9,3.85,29.7,0.205,0.41,42.1,Critical,True,test
pond_00029,fish,7.56,4.8,29.7,0.19,0.0,47.4,Critical,True,train
pond_00030,fish,7.34,5.78,34.5,0.0,0.29,35.9,Acceptable,True,train
pond_00031,fish,7.74,7.1,27.4,0.269,0.6,78.3,Critical,True,train
pond_00032,fish,6.66,6.79,27.1,0.126,0.56,60.7,Critical,True,train
pond_00033,fish,7.61,7.23,26.2,0.077,0.3,56.2,Poor,True,val
pond_00034,fish,8.05,2.51,30.2,0.379,0.12,48.8,Critical,True,test
pond_00035,fish,7.69,7.35,31.7,0.148,0.04,66.7,Critical,True,train
pond_00036,fish,7.48,5.58,28.2,0.0,0.12,9.1,Optimal,True,train
pond_00037,fish,7.34,8.05,26.1,0.1,0.34,59.7,Critical,True,train
pond_00038,fish,6.9,3.45,26.2,0.053,0.0,17.2,Poor,True,train
pond_00039,fish,7.36,5.77,30.3,0.0,0.39,24.8,Optimal,True,train
pond_00040,fish,8.16,4.57,30.6,0.197,0.73,45.1,Critical,True,val
pond_00041,fish,7.33,6.28,30.0,0.143,0.18,57.2,Critical,True,train
pond_00042,fish,6.87,6.64,26.6,0.0,0.0,14.2,Optimal,True,train
pond_00043,fish,7.1,6.17,29.2,0.0,0.0,25.8,Optimal,True,train
pond_00044,fish,7.52,4.25,28.8,0.144,0.39,36.8,Critical,True,train
pond_00045,fish,7.18,5.59,29.1,0.016,0.19,31.6,Optimal,True,test
pond_00046,fish,7.69,5.02,30.9,0.187,0.42,50.4,Critical,True,train
pond_00047,fish,7.71,6.36,29.1,0.49,0.07,96.8,Critical,True,train
pond_00048,fish,7.93,6.78,30.4,0.007,0.41,42.5,Optimal,True,train
pond_00049,fish,8.25,5.97,28.7,0.0,0.16,21.8,Optimal,True,train
