,precision,recall,f1-score,support
Bacterial Red disease,0.078125,0.07692307692307693,0.07751937984496124,65.0
Bacterial diseases - Aeromoniasis,0.1411764705882353,0.16901408450704225,0.15384615384615385,71.0
Bacterial gill disease,0.19540229885057472,0.23943661971830985,0.21518987341772153,71.0
EUS,0.125,0.1527777777777778,0.1375,72.0
Fungal diseases Saprolegniasis,0.17647058823529413,0.10909090909090909,0.1348314606741573,55.0
Healthy Fish,1.0,1.0,1.0,75.0
Parasitic diseases,0.16981132075471697,0.13636363636363635,0.15126050420168066,66.0
Viral diseases White tail disease,0.10204081632653061,0.08333333333333333,0.09174311926605505,60.0
accuracy,0.2616822429906542,0.2616822429906542,0.2616822429906542,0.2616822429906542
macro avg,0.24850331184441896,0.2458674297142607,0.2452363114063412,535.0
weighted avg,0.2617029834252334,0.2616822429906542,0.2598950063476832,535.0
